timestamp,batch_id,moe_layer_id,experts_activated,GPU_0_total_mem_capacity,GPU_0_mem_usage,GPU_0_mem_free,GPU_0_experts_can_fit,GPU_1_total_mem_capacity,GPU_1_mem_usage,GPU_1_mem_free,GPU_1_experts_can_fit
2025-07-17T19:22:04.038470,0,0,[],93.01580810546875,0.0,52.69683837890625,321,93.01580810546875,38.738948345184326,52.69683837890625,321
2025-07-17T19:22:04.041993,0,0,[],93.01580810546875,38.738948345184326,53.2081298828125,324,93.01580810546875,0.0,52.69683837890625,321
2025-07-17T19:22:12.289817,0,1,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.290382,0,1,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.310158,0,2,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.310756,0,2,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.328813,0,3,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.331008,0,3,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.349062,0,4,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.351290,0,4,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.369095,0,5,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.370952,0,5,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.389319,0,6,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.391828,0,6,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.409617,0,7,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.412238,0,7,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.429480,0,8,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.431992,0,8,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.449007,0,9,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.452722,0,9,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.467543,0,10,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.471953,0,10,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.486627,0,11,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.490154,0,11,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.507506,0,12,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.509320,0,12,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.527915,0,13,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.529014,0,13,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.547418,0,14,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.548835,0,14,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.566220,0,15,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.569164,0,15,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.584368,0,16,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.590112,0,16,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.602920,0,17,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.609433,0,17,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.622144,0,18,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.630589,0,18,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
2025-07-17T19:22:12.641504,0,19,[],93.01580810546875,38.813167095184326,51.92730712890625,316,93.01580810546875,0.0,51.92730712890625,316
2025-07-17T19:22:12.650854,0,19,[],93.01580810546875,0.0,51.92730712890625,316,93.01580810546875,38.813167095184326,51.92730712890625,316
